menu_fd_Code,menu_fd_Nm,menu_upper_Fd_Group_Nm,menu_fd_Group_Nm,menu_fd_Wgh,ingredient_fd_Code,ingredient_food_Code,ingredient_food_Nm,ingredient_fd_Eng_Nm,ingredient_nation_Std_Food_Grupp_Code_Nm,ingredient_origin_Code_Nm,ingredient_food_Wgh,ingredient_allrgy_Info,ingredient_onslf_Std_Food_Grupp_Nm,ingredient_amplt_Cl_Nm
D011001,눌은밥,,,440.00,D011001,F00093,"즉석밥, 누룽지, 끓는물 부음","Instant cooked rice, Scorched rice(Nurungji), White, Hot water added",곡류 및 그 제품,농진청,440.00,null,null,null
D011002,쌀밥,,,210.00,D011002,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,210.00,null,null,null
D011003,찰밥,,,210.00,D011003,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,210.00,null,null,null
D011004,현미밥,,,210.00,D011004,F00081,"멥쌀, 현미, 밥","Rice(Ssal), Brown, Cooked",곡류 및 그 제품,농진청,210.00,null,null,null
D011006,현미밥,,,160.00,D011006,F00081,"멥쌀, 현미, 밥","Rice(Ssal), Brown, Cooked",곡류 및 그 제품,농진청,160.00,null,null,null
D011007,누룽지(멥쌀),,,100.00,D011007,F00014,메밀묵,"Memilmuk, Buckwheat starch jelly",곡류 및 그 제품,농진청,100.00,메밀,null,null
D011008,흑미밥,,,90.00,D011008,F00017,"멥쌀, 백미, 생것","Rice(Ssal), White, Raw",곡류 및 그 제품,대푯값,70.00,null,null,null
D011008,흑미밥,,,90.00,D011008,F03154,"멥쌀, 현미, 흑미, 생것","Rice(Ssal), Black, Raw",곡류 및 그 제품,농진청,20.00,null,null,null
D011009,발아현미밥,,,100.00,D011009,F00017,"멥쌀, 백미, 생것","Rice(Ssal), White, Raw",곡류 및 그 제품,대푯값,90.00,null,null,null
D011009,발아현미밥,,,100.00,D011009,F00025,"멥쌀, 현미, 발아현미, 생것","Rice(Ssal), Brown, Germinated, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D011010,흑미현미밥,,,95.00,D011010,F00017,"멥쌀, 백미, 생것","Rice(Ssal), White, Raw",곡류 및 그 제품,대푯값,90.00,null,null,null
D011010,흑미현미밥,,,95.00,D011010,F00025,"멥쌀, 현미, 발아현미, 생것","Rice(Ssal), Brown, Germinated, Raw",곡류 및 그 제품,농진청,3.00,null,null,null
D011010,흑미현미밥,,,95.00,D011010,F03154,"멥쌀, 현미, 흑미, 생것","Rice(Ssal), Black, Raw",곡류 및 그 제품,농진청,2.00,null,null,null
D012001,검정콩밥,,,200.00,D012001,F00467,"대두, 검은색, 흑태, 삶은것","Soybean, Black, Heuktae, Boiled",두류,농진청,20.00,대두(콩),null,null
D012001,검정콩밥,,,200.00,D012001,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012002,기장밥,,,205.00,D012002,F00004,"기장, 도정, 생것","Proso millet(Gijang), Polished, Raw",곡류 및 그 제품,농진청,5.00,null,null,null
D012002,기장밥,,,205.00,D012002,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,200.00,null,null,null
D012003,녹두밥,,,210.00,D012003,F00427,"녹두, 삶은것","Mungbean(Nokdu), Boiled",두류,농진청,10.00,null,null,null
D012003,녹두밥,,,210.00,D012003,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012003,녹두밥,,,210.00,D012003,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,10.00,null,null,null
D012004,땅콩밥,,,200.00,D012004,F00498,"땅콩, 삶은것, 소금첨가","Peanut(Ttangkong), Boiled, With salt",견과 및 종실류,USDA,10.00,땅콩,null,null
D012004,땅콩밥,,,200.00,D012004,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012005,밤밥,,,210.00,D012005,F00513,"밤, 삶은것","Chestnut(Bam), Boiled",견과 및 종실류,농진청,20.00,null,null,null
D012005,밤밥,,,210.00,D012005,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012006,보리밥,,,200.00,D012006,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,10.00,null,null,null
D012006,보리밥,,,200.00,D012006,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012007,보리밥(강낭콩),,,210.00,D012007,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,10.00,null,null,null
D012007,보리밥(강낭콩),,,210.00,D012007,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012007,보리밥(강낭콩),,,210.00,D012007,F00425,"강낭콩, 삶은것","Kidney bean(Gangnangkong), Boiled",두류,농진청,10.00,null,null,null
D012008,보리밥(조),,,200.00,D012008,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,10.00,null,null,null
D012008,보리밥(조),,,200.00,D012008,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012008,보리밥(조),,,200.00,D012008,F00277,"조, 메조, 도정, 찐것","Millet(Jo), Polished, Steamed",곡류 및 그 제품,농진청,10.00,null,null,null
D012009,보리밥(팥),,,200.00,D012009,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,10.00,null,null,null
D012009,보리밥(팥),,,200.00,D012009,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012009,보리밥(팥),,,200.00,D012009,F00483,"팥, 적색, 삶은것","Adzuki bean(Pat), Red, Boiled",두류,농진청,10.00,null,null,null
D012010,수수밥,,,200.00,D012010,F00228,"수수, 찰수수, 도정, 생것","Sorghum(Susu), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,20.00,null,null,null
D012010,수수밥,,,200.00,D012010,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012011,쑥밥,,,230.00,D012011,F00966,"쑥, 생것","Mugwort(Ssuk), Raw",채소류,농진청,20.00,null,null,null
D012011,쑥밥,,,230.00,D012011,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,210.00,null,null,null
D012012,약식,,,197.00,D012012,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,140.00,null,null,null
D012012,약식,,,197.00,D012012,F00511,"밤, 생것","Chestnut(Bam), Raw",견과 및 종실류,농진청,25.00,null,null,null
D012012,약식,,,197.00,D012012,F01320,"대추, 말린것","Jujube(Daechu), Dried",과일류,농진청,15.00,null,null,null
D012012,약식,,,197.00,D012012,F02825,"간장, 개량, 양조","Soy sauce, Fermented type",조미료류,농진청,10.00,대두(콩),null,null
D012012,약식,,,197.00,D012012,F00397,"설탕, 흑설탕","Sugar, Dark brown",당류,농진청,5.00,null,null,null
D012012,약식,,,197.00,D012012,F00545,"잣, 볶은것","Pine nut(Jat), Roasted",견과 및 종실류,농진청,1.00,잣,null,null
D012012,약식,,,197.00,D012012,F02710,참기름,Sesame oil,유지류,농진청,1.00,null,null,null
D012013,오곡밥,,,206.00,D012013,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,140.00,null,null,null
D012013,오곡밥,,,206.00,D012013,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,30.00,null,null,null
D012013,오곡밥,,,206.00,D012013,F00278,"조, 차조, 도정, 생것","Millet(Jo), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012013,오곡밥,,,206.00,D012013,F00483,"팥, 적색, 삶은것","Adzuki bean(Pat), Red, Boiled",두류,농진청,10.00,null,null,null
D012013,오곡밥,,,206.00,D012013,F00228,"수수, 찰수수, 도정, 생것","Sorghum(Susu), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,5.00,null,null,null
D012013,오곡밥,,,206.00,D012013,F00466,"대두, 검은색, 흑태, 말린것","Soybean, Black, Heuktae, Dried",두류,농진청,5.00,대두(콩),null,null
D012013,오곡밥,,,206.00,D012013,F00004,"기장, 도정, 생것","Proso millet(Gijang), Polished, Raw",곡류 및 그 제품,농진청,5.00,null,null,null
D012013,오곡밥,,,206.00,D012013,F02876,"소금, 천일염, 가는소금","Salt(Sogeum), Sun-dried salt, Fine salt",조미료류,농진청,1.00,null,null,null
D012014,옥수수밥,,,210.00,D012014,F00261,"옥수수, 찰옥수수, 삶은것","Corn(Oksusu), Glutinous, Boiled",곡류 및 그 제품,농진청,20.00,null,null,null
D012014,옥수수밥,,,210.00,D012014,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012015,완두콩밥,,,200.00,D012015,F00444,"완두, 삶은것","Pea(Wandu), Boiled",두류,농진청,10.00,null,null,null
D012015,완두콩밥,,,200.00,D012015,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012015,완두콩밥,,,200.00,D012015,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,10.00,null,null,null
D012016,율무밥,,,200.00,D012016,F00272,"율무, 도정, 생것","Job&amp;#27;s tears(Yulmu), Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012016,율무밥,,,200.00,D012016,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012016,율무밥,,,200.00,D012016,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,10.00,null,null,null
D012017,잡곡밥(강낭콩),,,208.00,D012017,F00425,"강낭콩, 삶은것","Kidney bean(Gangnangkong), Boiled",두류,농진청,15.00,null,null,null
D012017,잡곡밥(강낭콩),,,208.00,D012017,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012017,잡곡밥(강낭콩),,,208.00,D012017,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,13.00,null,null,null
D012018,잡곡밥(옥수수),,,180.00,D012018,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,10.00,null,null,null
D012018,잡곡밥(옥수수),,,180.00,D012018,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,140.00,null,null,null
D012018,잡곡밥(옥수수),,,180.00,D012018,F00261,"옥수수, 찰옥수수, 삶은것","Corn(Oksusu), Glutinous, Boiled",곡류 및 그 제품,농진청,10.00,null,null,null
D012018,잡곡밥(옥수수),,,180.00,D012018,F00272,"율무, 도정, 생것","Job&amp;#27;s tears(Yulmu), Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012018,잡곡밥(옥수수),,,180.00,D012018,F00276,"조, 메조, 도정, 생것","Millet(Jo), Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012019,잡곡밥(팥),,,220.00,D012019,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012019,잡곡밥(팥),,,220.00,D012019,F00483,"팥, 적색, 삶은것","Adzuki bean(Pat), Red, Boiled",두류,농진청,20.00,null,null,null
D012019,잡곡밥(팥),,,220.00,D012019,F00227,"수수, 도정, 생것","Sorghum(Susu), Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012019,잡곡밥(팥),,,220.00,D012019,F00278,"조, 차조, 도정, 생것","Millet(Jo), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012020,조밥,,,190.00,D012020,F00276,"조, 메조, 도정, 생것","Millet(Jo), Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012020,조밥,,,190.00,D012020,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012021,차수수밥,,,180.00,D012021,F00228,"수수, 찰수수, 도정, 생것","Sorghum(Susu), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012021,차수수밥,,,180.00,D012021,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,160.00,null,null,null
D012021,차수수밥,,,180.00,D012021,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,10.00,null,null,null
D012022,차조밥,,,180.00,D012022,F00278,"조, 차조, 도정, 생것","Millet(Jo), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012022,차조밥,,,180.00,D012022,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,160.00,null,null,null
D012022,차조밥,,,180.00,D012022,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,10.00,null,null,null
D012023,찰밥(멥쌀),,,200.00,D012023,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,10.00,null,null,null
D012023,찰밥(멥쌀),,,200.00,D012023,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012024,찰밥(수수),,,180.00,D012024,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,10.00,null,null,null
D012024,찰밥(수수),,,180.00,D012024,F00228,"수수, 찰수수, 도정, 생것","Sorghum(Susu), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012024,찰밥(수수),,,180.00,D012024,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,160.00,null,null,null
D012025,콩밥,,,190.00,D012025,F00467,"대두, 검은색, 흑태, 삶은것","Soybean, Black, Heuktae, Boiled",두류,농진청,20.00,대두(콩),null,null
D012025,콩밥,,,190.00,D012025,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,160.00,null,null,null
D012025,콩밥,,,190.00,D012025,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,10.00,null,null,null
D012026,팥밥,,,210.00,D012026,F00483,"팥, 적색, 삶은것","Adzuki bean(Pat), Red, Boiled",두류,농진청,20.00,null,null,null
D012026,팥밥,,,210.00,D012026,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012027,귀리누룽지,,,70.00,D012027,F00002,"귀리, 쌀귀리, 도정, 생것","Oat(Gwiri), Naked, Polished, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D012027,귀리누룽지,,,70.00,D012027,F00092,"즉석밥, 누룽지","Instant cooked rice, Scorched rice(Nurungji), White",곡류 및 그 제품,농진청,60.00,null,null,null
D012029,귀리밥,,,190.00,D012029,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,140.00,null,null,null
D012029,귀리밥,,,190.00,D012029,F03119,"귀리, 쌀귀리, 도정, 밥","Oat(Gwiri), Naked, Polished, Cooked",곡류 및 그 제품,농진청,50.00,null,null,null
D012034,보리고구마밥,,,158.00,D012034,F00215,"보리, 쌀보리, 도정, 생것","Barley(Bori), Naked, Polished, Raw",곡류 및 그 제품,농진청,25.00,null,null,null
D012034,보리고구마밥,,,158.00,D012034,F00328,"고구마, 찐것","Sweet potato(Goguma), Steamed",감자 및 전분류,농진청,63.00,null,null,null
D012034,보리고구마밥,,,158.00,D012034,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,70.00,null,null,null
D012037,양주밤밥,,,186.00,D012037,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,86.00,null,null,null
D012037,양주밤밥,,,186.00,D012037,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,20.00,null,null,null
D012037,양주밤밥,,,186.00,D012037,F00542,"은행, 삶은것","Ginkgo nut(Eunhaeng), Boiled",견과 및 종실류,농진청,10.00,null,null,null
D012037,양주밤밥,,,186.00,D012037,F00513,"밤, 삶은것","Chestnut(Bam), Boiled",견과 및 종실류,농진청,70.00,null,null,null
D012043,조감자밥,,,300.00,D012043,F00306,"감자, 대지, 삶은것","Potato(Gamja), Daeji, Boiled",감자 및 전분류,농진청,280.00,null,null,null
D012043,조감자밥,,,300.00,D012043,F00278,"조, 차조, 도정, 생것","Millet(Jo), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,20.00,null,null,null
D012047,보리옥수수밥,,,120.00,D012047,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,75.00,null,null,null
D012047,보리옥수수밥,,,120.00,D012047,F00261,"옥수수, 찰옥수수, 삶은것","Corn(Oksusu), Glutinous, Boiled",곡류 및 그 제품,농진청,15.00,null,null,null
D012047,보리옥수수밥,,,120.00,D012047,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,10.00,null,null,null
D012048,보리옥수수밥,,,169.90,D012048,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,17.60,null,null,null
D012048,보리옥수수밥,,,169.90,D012048,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,105.50,null,null,null
D012048,보리옥수수밥,,,169.90,D012048,F00261,"옥수수, 찰옥수수, 삶은것","Corn(Oksusu), Glutinous, Boiled",곡류 및 그 제품,농진청,23.40,null,null,null
D012049,잡곡밥,,,200.10,D012049,F00280,"찹쌀, 백미, 생것","Rice(Ssal), Glutinous, White, Raw",곡류 및 그 제품,농진청,45.00,null,null,null
D012049,잡곡밥,,,200.10,D012049,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,19.30,null,null,null
D012049,잡곡밥,,,200.10,D012049,F00278,"조, 차조, 도정, 생것","Millet(Jo), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,8.90,null,null,null
D012049,잡곡밥,,,200.10,D012049,F00482,"팥, 적색, 말린것","Adzuki bean(Pat), Red, Dried",두류,농진청,8.90,null,null,null
D012049,잡곡밥,,,200.10,D012049,F00228,"수수, 찰수수, 도정, 생것","Sorghum(Susu), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,6.50,null,null,null
D012049,잡곡밥,,,200.10,D012049,F00466,"대두, 검은색, 흑태, 말린것","Soybean, Black, Heuktae, Dried",두류,농진청,6.50,대두(콩),null,null
D012049,잡곡밥,,,200.10,D012049,F00004,"기장, 도정, 생것","Proso millet(Gijang), Polished, Raw",곡류 및 그 제품,농진청,3.10,null,null,null
D012049,잡곡밥,,,200.10,D012049,F02876,"소금, 천일염, 가는소금","Salt(Sogeum), Sun-dried salt, Fine salt",조미료류,농진청,1.90,null,null,null
D012050,잡곡밥,,,270.10,D012050,F00280,"찹쌀, 백미, 생것","Rice(Ssal), Glutinous, White, Raw",곡류 및 그 제품,농진청,60.70,null,null,null
D012050,잡곡밥,,,270.10,D012050,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,26.00,null,null,null
D012050,잡곡밥,,,270.10,D012050,F00278,"조, 차조, 도정, 생것","Millet(Jo), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,12.00,null,null,null
D012050,잡곡밥,,,270.10,D012050,F00482,"팥, 적색, 말린것","Adzuki bean(Pat), Red, Dried",두류,농진청,12.00,null,null,null
D012050,잡곡밥,,,270.10,D012050,F00228,"수수, 찰수수, 도정, 생것","Sorghum(Susu), Glutinous, Polished, Raw",곡류 및 그 제품,농진청,8.80,null,null,null
D012050,잡곡밥,,,270.10,D012050,F00466,"대두, 검은색, 흑태, 말린것","Soybean, Black, Heuktae, Dried",두류,농진청,8.80,대두(콩),null,null
D012050,잡곡밥,,,270.10,D012050,F00004,"기장, 도정, 생것","Proso millet(Gijang), Polished, Raw",곡류 및 그 제품,농진청,4.20,null,null,null
D012050,잡곡밥,,,270.10,D012050,F02876,"소금, 천일염, 가는소금","Salt(Sogeum), Sun-dried salt, Fine salt",조미료류,농진청,2.60,null,null,null
D012051,귀리밥,,,140.00,D012051,F00280,"찹쌀, 백미, 생것","Rice(Ssal), Glutinous, White, Raw",곡류 및 그 제품,농진청,30.00,null,null,null
D012051,귀리밥,,,140.00,D012051,F00002,"귀리, 쌀귀리, 도정, 생것","Oat(Gwiri), Naked, Polished, Raw",곡류 및 그 제품,농진청,15.00,null,null,null
D012052,보리고구마밥,,,342.00,D012052,F00215,"보리, 쌀보리, 도정, 생것","Barley(Bori), Naked, Polished, Raw",곡류 및 그 제품,농진청,22.00,null,null,null
D012052,보리고구마밥,,,342.00,D012052,F00328,"고구마, 찐것","Sweet potato(Goguma), Steamed",감자 및 전분류,농진청,100.00,null,null,null
D012052,보리고구마밥,,,342.00,D012052,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,60.00,null,null,null
D012053,옥수수밥,,,180.00,D012053,F00261,"옥수수, 찰옥수수, 삶은것","Corn(Oksusu), Glutinous, Boiled",곡류 및 그 제품,농진청,60.00,null,null,null
D012053,옥수수밥,,,180.00,D012053,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,120.00,null,null,null
D012054,잡곡밥(강낭콩),,,88.60,D012054,F00425,"강낭콩, 삶은것","Kidney bean(Gangnangkong), Boiled",두류,농진청,11.70,null,null,null
D012054,잡곡밥(강낭콩),,,88.60,D012054,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,45.00,null,null,null
D012054,잡곡밥(강낭콩),,,88.60,D012054,F00216,"보리, 겉보리, 압맥","Barley(Bori), Covered, Pressed grain",곡류 및 그 제품,농진청,7.90,null,null,null
D012055,귀리누룽지,,,175.00,D012055,F00002,"귀리, 쌀귀리, 도정, 생것","Oat(Gwiri), Naked, Polished, Raw",곡류 및 그 제품,농진청,20.40,null,null,null
D012055,귀리누룽지,,,175.00,D012055,F00280,"찹쌀, 백미, 생것","Rice(Ssal), Glutinous, White, Raw",곡류 및 그 제품,농진청,41.40,null,null,null
D012056,보리고구마밥,,,144.80,D012056,F00215,"보리, 쌀보리, 도정, 생것","Barley(Bori), Naked, Polished, Raw",곡류 및 그 제품,농진청,15.00,null,null,null
D012056,보리고구마밥,,,144.80,D012056,F00328,"고구마, 찐것","Sweet potato(Goguma), Steamed",감자 및 전분류,농진청,54.80,null,null,null
D012056,보리고구마밥,,,144.80,D012056,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,40.00,null,null,null
D012057,귀리밥,,,168.50,D012057,F00280,"찹쌀, 백미, 생것","Rice(Ssal), Glutinous, White, Raw",곡류 및 그 제품,농진청,35.00,null,null,null
D012057,귀리밥,,,168.50,D012057,F00002,"귀리, 쌀귀리, 도정, 생것","Oat(Gwiri), Naked, Polished, Raw",곡류 및 그 제품,농진청,23.00,null,null,null
D012058,귀리영양밥,,,190.00,D012058,F00017,"멥쌀, 백미, 생것","Rice(Ssal), White, Raw",곡류 및 그 제품,대푯값,60.00,null,null,null
D012058,귀리영양밥,,,190.00,D012058,F00001,"귀리, 겉귀리, 도정, 생것","Oat(Gwiri), Covered, Polished, Raw",곡류 및 그 제품,농진청,30.00,null,null,null
D012058,귀리영양밥,,,190.00,D012058,F00739,"마늘, 생것","Garlic(Maneul), Raw",채소류,농진청,5.00,null,null,null
D012058,귀리영양밥,,,190.00,D012058,F01557,"닭고기, 가슴, 생것","Chicken meat, Breast, Raw",육류,농진청,30.00,닭고기,null,null
D012058,귀리영양밥,,,190.00,D012058,F01132,"토마토, 방울토마토, 생것","Tomato, Cherry tomato, Raw",채소류,농진청,30.00,토마토,null,null
D012058,귀리영양밥,,,190.00,D012058,F03079,"인삼, 수삼, 생것","Korean ginseng, Raw",기타,농진청,15.00,null,null,null
D012058,귀리영양밥,,,190.00,D012058,F03332,"비타민채(다채), 어린잎, 생것","Tah Tsai(Daechae), Young leaf, Raw",채소류,농진청,20.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F00004,"기장, 도정, 생것","Proso millet(Gijang), Polished, Raw",곡류 및 그 제품,농진청,20.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F00017,"멥쌀, 백미, 생것","Rice(Ssal), White, Raw",곡류 및 그 제품,대푯값,50.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F02411,"전복, 둥근전복, 생것","Disk abalone, Raw",어패류 및 기타 수산물,null,40.00,"어패류(굴, 전복, 홍합 포함)",null,null
D012059,기장 영양밥,,,210.00,D012059,F01045,"우엉, 생것","Burdock(Ueong), Raw",채소류,농진청,10.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F01024,"연근, 생것","Lotus root(Yeongeun), Raw",채소류,농진청,10.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F00702,"당근, 뿌리, 생것","Carrot(Danggeun), Root, Raw",채소류,농진청,8.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F03557,"고구마, 생것","Sweet potato(Goguma), Raw",감자 및 전분류,농진청,30.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F02858,맛술,"Cooking alcohol, Matsul",조미료류,농진청,5.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F02710,참기름,Sesame oil,유지류,농진청,4.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F02838,고춧가루,"Red pepper, Powder",조미료류,농진청,0.50,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F02825,"간장, 개량, 양조","Soy sauce, Fermented type",조미료류,농진청,10.00,대두(콩),null,null
D012059,기장 영양밥,,,210.00,D012059,F01347,매실청,"Japanese apricot, Preserved with sugar, Liquid",과일류,농진청,5.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F01149,"파, 대파, 생것","Welsh onion, Spring onion, Raw",채소류,농진청,3.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F00739,"마늘, 생것","Garlic(Maneul), Raw",채소류,농진청,2.00,null,null,null
D012059,기장 영양밥,,,210.00,D012059,F02841,"참깨, 흰색, 볶은것","Sesame seed(Chamkkae), White, Roasted",견과 및 종실류,농진청,0.50,null,null,null
