no,fd_Code,upper_Fd_Grupp_Nm,fd_Grupp_Nm,fd_Nm,fd_Wgh,food_Cnt
1,D011001,밥류,쌀밥,눌은밥,440.00,1
2,D011002,밥류,쌀밥,쌀밥,210.00,1
3,D011003,밥류,쌀밥,찰밥,210.00,1
4,D011004,밥류,쌀밥,현미밥,210.00,1
5,D011006,밥류,쌀밥,현미밥,160.00,1
6,D011007,밥류,쌀밥,누룽지(멥쌀),100.00,1
7,D011008,밥류,쌀밥,흑미밥,90.00,2
8,D011009,밥류,쌀밥,발아현미밥,100.00,2
9,D011010,밥류,쌀밥,흑미현미밥,95.00,3
10,D012001,밥류,잡곡밥류,검정콩밥,200.00,2
11,D012002,밥류,잡곡밥류,기장밥,205.00,2
12,D012003,밥류,잡곡밥류,녹두밥,210.00,3
13,D012004,밥류,잡곡밥류,땅콩밥,200.00,2
14,D012005,밥류,잡곡밥류,밤밥,210.00,2
15,D012006,밥류,잡곡밥류,보리밥,200.00,2
16,D012007,밥류,잡곡밥류,보리밥(강낭콩),210.00,3
17,D012008,밥류,잡곡밥류,보리밥(조),200.00,3
18,D012009,밥류,잡곡밥류,보리밥(팥),200.00,3
19,D012010,밥류,잡곡밥류,수수밥,200.00,2
20,D012011,밥류,잡곡밥류,쑥밥,230.00,2
21,D012012,밥류,잡곡밥류,약식,197.00,7
22,D012013,밥류,잡곡밥류,오곡밥,206.00,8
23,D012014,밥류,잡곡밥류,옥수수밥,210.00,2
24,D012015,밥류,잡곡밥류,완두콩밥,200.00,3
25,D012016,밥류,잡곡밥류,율무밥,200.00,3
26,D012017,밥류,잡곡밥류,잡곡밥(강낭콩),208.00,3
27,D012018,밥류,잡곡밥류,잡곡밥(옥수수),180.00,5
28,D012019,밥류,잡곡밥류,잡곡밥(팥),220.00,4
29,D012020,밥류,잡곡밥류,조밥,190.00,2
30,D012021,밥류,잡곡밥류,차수수밥,180.00,3
31,D012022,밥류,잡곡밥류,차조밥,180.00,3
32,D012023,밥류,잡곡밥류,찰밥(멥쌀),200.00,2
33,D012024,밥류,잡곡밥류,찰밥(수수),180.00,3
34,D012025,밥류,잡곡밥류,콩밥,190.00,3
35,D012026,밥류,잡곡밥류,팥밥,210.00,2
36,D012027,밥류,잡곡밥류,귀리누룽지,70.00,2
37,D012029,밥류,잡곡밥류,귀리밥,190.00,2
38,D012034,밥류,잡곡밥류,보리고구마밥,158.00,3
39,D012037,밥류,잡곡밥류,양주밤밥,186.00,4
40,D012043,밥류,잡곡밥류,조감자밥,300.00,2
41,D012047,밥류,잡곡밥류,보리옥수수밥,120.00,3
42,D012048,밥류,잡곡밥류,보리옥수수밥,169.90,3
43,D012049,밥류,잡곡밥류,잡곡밥,200.10,8
44,D012050,밥류,잡곡밥류,잡곡밥,270.10,8
45,D012051,밥류,잡곡밥류,귀리밥,140.00,2
46,D012052,밥류,잡곡밥류,보리고구마밥,342.00,3
47,D012053,밥류,잡곡밥류,옥수수밥,180.00,2
48,D012054,밥류,잡곡밥류,잡곡밥(강낭콩),88.60,3
49,D012055,밥류,잡곡밥류,귀리누룽지,175.00,2
50,D012056,밥류,잡곡밥류,보리고구마밥,144.80,3
51,D012057,밥류,잡곡밥류,귀리밥,168.50,2
52,D012058,밥류,잡곡밥류,귀리영양밥,190.00,7
53,D012059,밥류,잡곡밥류,기장 영양밥,210.00,17
54,D012060,밥류,잡곡밥류,대추영양밥,289.00,15
55,D012061,밥류,잡곡밥류,상추쌈보리밥,270.00,7
56,D012062,밥류,잡곡밥류,영양찰밥 품은 팥,170.50,6
57,D012063,밥류,잡곡밥류,오곡밥,194.00,8
58,D012064,밥류,잡곡밥류,오곡연잎밥,207.70,10
59,D012065,밥류,잡곡밥류,옥수수영양밥,262.80,11
60,D012066,밥류,잡곡밥류,강낭콩밥,100.00,2
61,D012067,밥류,잡곡밥류,꽁보리밥,80.00,2
62,D012068,밥류,잡곡밥류,늘보리밥,90.00,2
63,D012069,밥류,잡곡밥류,동부콩밥,100.00,2
64,D012070,밥류,잡곡밥류,렌틸콩밥,90.00,3
65,D012071,밥류,잡곡밥류,모듬콩밥,65.00,3
66,D012072,밥류,잡곡밥류,서리태밥,102.00,3
67,D012073,밥류,잡곡밥류,오곡찰밥,129.10,7
68,D012074,밥류,잡곡밥류,찰보리밥,80.00,2
69,D012075,밥류,잡곡밥류,찰현미밥,100.00,2
70,D012076,밥류,잡곡밥류,귀리수수밥,96.00,3
71,D012077,밥류,잡곡밥류,귀리차조밥,96.00,3
72,D012078,밥류,잡곡밥류,귀리현미밥,88.00,3
73,D012079,밥류,잡곡밥류,기장보리밥,98.00,3
74,D012080,밥류,잡곡밥류,기장현미밥,98.00,3
75,D012081,밥류,잡곡밥류,대추밤찰밥,130.00,5
76,D012082,밥류,잡곡밥류,더덕영양밥,124.00,5
77,D012083,밥류,잡곡밥류,병아리콩밥,90.00,2
78,D012084,밥류,잡곡밥류,보리현미밥,110.00,3
79,D012085,밥류,잡곡밥류,수수현미밥,93.00,3
80,D012086,밥류,잡곡밥류,옥수수콩밥,95.00,3
81,D012087,밥류,잡곡밥류,차조기장밥,106.00,3
82,D012088,밥류,잡곡밥류,차조현미밥,98.00,3
83,D012089,밥류,잡곡밥류,찰옥수수밥,140.00,3
84,D012090,밥류,잡곡밥류,찹쌀기장밥,60.00,3
85,D012091,밥류,잡곡밥류,찹쌀녹두밥,67.00,3
86,D012092,밥류,잡곡밥류,찹쌀차조밥,108.00,3
87,D012093,밥류,잡곡밥류,찹쌀현미밥,108.00,3
88,D012094,밥류,잡곡밥류,현미기장밥,90.00,3
89,D012095,밥류,잡곡밥류,현미수수밥,100.00,3
90,D012096,밥류,잡곡밥류,현미찹쌀밥,100.00,3
91,D012097,밥류,잡곡밥류,현미흑미밥,90.00,3
92,D012098,밥류,잡곡밥류,흑미차조밥,96.00,3
93,D012099,밥류,잡곡밥류,강낭콩현미밥,125.00,3
94,D012100,밥류,잡곡밥류,서리태보리밥,97.00,4
95,D012101,밥류,잡곡밥류,서리태흑미밥,104.00,4
96,D012102,밥류,잡곡밥류,옥수수기장밥,93.00,3
97,D012103,밥류,잡곡밥류,옥수수차조밥,103.00,3
98,D012104,밥류,잡곡밥류,찹쌀검정콩밥,90.00,3
99,D012105,밥류,잡곡밥류,찹쌀서리태밥,113.00,3
100,D012106,밥류,잡곡밥류,연근흑미영양밥,156.00,8
101,D012107,밥류,잡곡밥류,도라지전복영양밥,156.00,8
102,D012108,밥류,잡곡밥류,렌틸콩발아현미밥,110.00,3
103,D012109,밥류,잡곡밥류,흑미초당옥수수밥,100.00,3
104,D012110,밥류,잡곡밥류,잡곡밥(검정콩밥),88.00,2
105,D012111,밥류,잡곡밥류,잡곡밥(병아리콩),90.00,2
106,D012112,밥류,잡곡밥류,잡곡밥(찹쌀흑미),110.00,2
107,D012113,밥류,잡곡밥류,오곡밥(대보름),120.00,6
108,D012114,밥류,잡곡밥류,잡곡밥(완두콩),105.00,3
109,D012115,밥류,잡곡밥류,잡곡밥(차수수),98.00,3
110,D012116,밥류,잡곡밥류,잡곡밥(보리),105.00,2
111,D012117,밥류,잡곡밥류,잡곡밥(차조),110.00,2
112,D012118,밥류,잡곡밥류,잡곡밥(혼합),90.00,4
113,D012119,밥류,잡곡밥류,잡곡(녹두)밥,100.00,2
114,D012120,밥류,잡곡밥류,크렌베리귀리밥,185.00,3
115,D013001,밥류,채소밥류,감자밥,220.50,4
116,D013002,밥류,채소밥류,고구마밥,210.00,2
117,D013003,밥류,채소밥류,야채밥,225.00,10
118,D013004,밥류,채소밥류,야채밥(치즈),235.00,11
119,D013005,밥류,채소밥류,콩나물밥,254.00,10
120,D013007,밥류,채소밥류,김치밥,365.00,4
121,D013010,밥류,채소밥류,마밥,240.00,2
122,D013012,밥류,채소밥류,무밥,287.50,8
123,D013014,밥류,채소밥류,버섯밥,250.50,8
124,D013019,밥류,채소밥류,감자밥,136.70,4
125,D013020,밥류,채소밥류,감자밥,209.90,4
126,D013021,밥류,채소밥류,감자밥,240.00,2
127,D013022,밥류,채소밥류,콩나물밥,250.10,9
128,D013023,밥류,채소밥류,깻잎 소고기 쌈밥,296.10,9
129,D013024,밥류,채소밥류,단호박약식,99.30,10
130,D013025,밥류,채소밥류,시래기 영양밥,266.00,15
131,D013026,밥류,채소밥류,연근 연잎밥,197.20,11
132,D013027,밥류,채소밥류,죽순영양밥,267.40,17
133,D013028,밥류,채소밥류,가지밥,95.00,9
134,D013029,밥류,채소밥류,곤드레밥,138.30,7
135,D013030,밥류,채소밥류,취나물밥,108.00,5
136,D013031,밥류,채소밥류,가지표고밥,152.20,7
137,D013032,밥류,채소밥류,두릅영양밥,134.00,5
138,D013033,밥류,채소밥류,은행영양밥,108.20,9
139,D013034,밥류,채소밥류,콩나물국밥,209.30,9
140,D013035,밥류,채소밥류,곤드레나물밥,124.00,8
141,D013036,밥류,채소밥류,단호박은행밥,95.00,4
142,D013037,밥류,채소밥류,취나물영양밥,181.00,6
143,D013038,밥류,채소밥류,뿌리채소영양밥,156.00,9
144,D013039,밥류,채소밥류,뿌리채소은행밥,90.00,6
145,D013040,밥류,채소밥류,소고기콩나물밥,126.60,7
146,D013041,밥류,채소밥류,아주까리나물밥,141.00,11
147,D013042,밥류,채소밥류,표고버섯콩나물밥,131.60,6
148,D013043,밥류,채소밥류,뿌리채소버섯영양밥,152.00,10
149,D013044,밥류,채소밥류,단호박약식,439.00,8
150,D013045,밥류,채소밥류,울금해초밥,180.00,10
151,D013046,밥류,채소밥류,강황고구마밥,535.00,9
152,D013047,밥류,채소밥류,버섯곤드레밥,241.00,11
153,D014001,밥류,비빔밥 및 볶음밥류,김치볶음밥(돼지고기),357.00,11
154,D014002,밥류,비빔밥 및 볶음밥류,김치볶음밥(콩나물),280.50,7
155,D014003,밥류,비빔밥 및 볶음밥류,비빔밥(고추장),333.50,11
156,D014004,밥류,비빔밥 및 볶음밥류,"비빔밥(고추장, 돼지고기)",324.50,14
157,D014005,밥류,비빔밥 및 볶음밥류,"비빔밥(고추장, 소고기)",415.00,10
158,D014006,밥류,비빔밥 및 볶음밥류,산채비빔밥(고추장),333.50,11
159,D014007,밥류,비빔밥 및 볶음밥류,소고기볶음밥,341.00,13
160,D014008,밥류,비빔밥 및 볶음밥류,"열무비빔밥(고추장, 소고기)",309.00,10
161,D014009,밥류,비빔밥 및 볶음밥류,영양돌솥밥,240.00,6
162,D014010,밥류,비빔밥 및 볶음밥류,오므라이스,396.00,10
163,D014011,밥류,비빔밥 및 볶음밥류,콩나물비빔밥(소고기),333.00,9
164,D014012,밥류,비빔밥 및 볶음밥류,해초비빔밥(고추장),325.00,11
165,D014019,밥류,비빔밥 및 볶음밥류,비빔밥,500.00,15
166,D014026,밥류,비빔밥 및 볶음밥류,육회비빔밥,549.00,19
167,D014036,밥류,비빔밥 및 볶음밥류,김치볶음밥(콩나물),220.00,7
168,D014037,밥류,비빔밥 및 볶음밥류,겨자소스를 곁들인 영양밥 강정,264.10,20
169,D014038,밥류,비빔밥 및 볶음밥류,귀리토마토리소토,355.90,8
170,D014039,밥류,비빔밥 및 볶음밥류,닭가슴살 곤드레밥,288.30,13
171,D014040,밥류,비빔밥 및 볶음밥류,바지락비빔밥,338.00,12
172,D014041,밥류,비빔밥 및 볶음밥류,양배추 볶음밥,326.70,10
173,D014042,밥류,비빔밥 및 볶음밥류,열무김치 불고기비빔밥,365.55,17
174,D014043,밥류,비빔밥 및 볶음밥류,율무볶음밥,238.95,11
175,D014044,밥류,비빔밥 및 볶음밥류,참나물불고기비빔밥,349.05,19
176,D014045,밥류,비빔밥 및 볶음밥류,비빔밥,321.50,15
177,D014046,밥류,비빔밥 및 볶음밥류,간장달걀밥,190.00,8
178,D014047,밥류,비빔밥 및 볶음밥류,게살볶음밥,103.50,9
179,D014048,밥류,비빔밥 및 볶음밥류,김밥볶음밥,111.80,14
180,D014049,밥류,비빔밥 및 볶음밥류,꼬막비빔밥,163.90,15
181,D014050,밥류,비빔밥 및 볶음밥류,나물비빔밥,82.10,7
182,D014051,밥류,비빔밥 및 볶음밥류,낙지비빔밥,268.40,15
183,D014052,밥류,비빔밥 및 볶음밥류,달걀볶음밥,46.30,4
184,D014053,밥류,비빔밥 및 볶음밥류,목살필라프,83.91,16
185,D014054,밥류,비빔밥 및 볶음밥류,삼색도리아,313.20,14
186,D014055,밥류,비빔밥 및 볶음밥류,새우볶음밥,80.30,11
187,D014056,밥류,비빔밥 및 볶음밥류,야채볶음밥,149.00,9
188,D014057,밥류,비빔밥 및 볶음밥류,열무비빔밥,282.00,11
189,D014058,밥류,비빔밥 및 볶음밥류,참치볶음밥,96.80,10
190,D014059,밥류,비빔밥 및 볶음밥류,채소볶음밥,82.30,7
191,D014060,밥류,비빔밥 및 볶음밥류,통영비빔밥,262.60,12
192,D014061,밥류,비빔밥 및 볶음밥류,해물볶음밥,96.00,14
193,D014062,밥류,비빔밥 및 볶음밥류,깍두기볶음밥,120.50,10
194,D014063,밥류,비빔밥 및 볶음밥류,날치알볶음밥,93.40,12
195,D014064,밥류,비빔밥 및 볶음밥류,바지락비빔밥,163.80,11
196,D014065,밥류,비빔밥 및 볶음밥류,봄나물비빔밥,169.00,11
197,D014066,밥류,비빔밥 및 볶음밥류,산나물비빔밥,177.00,12
198,D014067,밥류,비빔밥 및 볶음밥류,삼겹살볶음밥,105.40,11
199,D014068,밥류,비빔밥 및 볶음밥류,새우살볶음밥,223.00,9
200,D014069,밥류,비빔밥 및 볶음밥류,중국식볶음밥,83.70,13
201,D014070,밥류,비빔밥 및 볶음밥류,중국식잡채밥,164.90,17
202,D014071,밥류,비빔밥 및 볶음밥류,중화풍볶음밥,200.00,9
203,D014072,밥류,비빔밥 및 볶음밥류,햄달걀볶음밥,82.00,6
204,D014073,밥류,비빔밥 및 볶음밥류,햄야채볶음밥,147.00,9
205,D014074,밥류,비빔밥 및 볶음밥류,간장게살볶음밥,126.10,8
206,D014075,밥류,비빔밥 및 볶음밥류,게살달걀볶음밥,123.72,11
207,D014076,밥류,비빔밥 및 볶음밥류,꼬막야채비빔밥,243.90,15
208,D014077,밥류,비빔밥 및 볶음밥류,나물된장비빔밥,147.52,14
209,D014078,밥류,비빔밥 및 볶음밥류,낙지강황비빔밥,247.40,16
210,D014079,밥류,비빔밥 및 볶음밥류,달걀버터비빔밥,147.80,8
211,D014080,밥류,비빔밥 및 볶음밥류,닭살채소볶음밥,123.50,12
212,D014081,밥류,비빔밥 및 볶음밥류,도토리묵비빔밥,217.20,12
213,D014082,밥류,비빔밥 및 볶음밥류,두부카레볶음밥,100.00,7
214,D014083,밥류,비빔밥 및 볶음밥류,보리열무비빔밥,175.00,6
215,D014084,밥류,비빔밥 및 볶음밥류,새우야채볶음밥,126.80,11
216,D014085,밥류,비빔밥 및 볶음밥류,야채나물비빔밥,201.00,10
217,D014086,밥류,비빔밥 및 볶음밥류,열무김치비빔밥,127.00,8
218,D014087,밥류,비빔밥 및 볶음밥류,열무보리비빔밥,214.00,9
219,D014088,밥류,비빔밥 및 볶음밥류,참치채소볶음밥,118.60,10
220,D014089,밥류,비빔밥 및 볶음밥류,파인애플볶음밥,179.10,13
221,D014090,밥류,비빔밥 및 볶음밥류,굴소스해물볶음밥,173.60,10
222,D014091,밥류,비빔밥 및 볶음밥류,깍두기달걀볶음밥,144.71,17
223,D014092,밥류,비빔밥 및 볶음밥류,날치알계란볶음밥,84.50,12
224,D014093,밥류,비빔밥 및 볶음밥류,닭고기산채비빔밥,127.00,9
225,D014094,밥류,비빔밥 및 볶음밥류,소고기가지볶음밥,121.80,12
226,D014095,밥류,비빔밥 및 볶음밥류,소고기채소볶음밥,65.00,13
227,D014096,밥류,비빔밥 및 볶음밥류,참치생야채비빔밥,149.00,6
228,D014097,밥류,비빔밥 및 볶음밥류,청경채두부볶음밥,92.30,6
229,D014098,밥류,비빔밥 및 볶음밥류,토마토달걀볶음밥,104.50,6
230,D014099,밥류,비빔밥 및 볶음밥류,해물굴소스볶음밥,156.60,10
231,D014100,밥류,비빔밥 및 볶음밥류,닭가슴살우엉볶음밥,126.20,10
232,D014101,밥류,비빔밥 및 볶음밥류,돼지고기채소볶음밥,112.00,12
233,D014102,밥류,비빔밥 및 볶음밥류,명란아보카도비빔밥,219.30,8
234,D014103,밥류,비빔밥 및 볶음밥류,새우파인애플볶음밥,121.50,12
235,D014104,밥류,비빔밥 및 볶음밥류,소고기고사리볶음밥,88.20,11
236,D014105,밥류,비빔밥 및 볶음밥류,아보카도명란비빔밥,186.80,11
237,D014106,밥류,비빔밥 및 볶음밥류,파인애플새우볶음밥,167.80,16
238,D014107,밥류,비빔밥 및 볶음밥류,파프리카야채볶음밥,151.00,9
239,D014108,밥류,비빔밥 및 볶음밥류,안매운김치치즈볶음밥,88.00,5
240,D014109,밥류,비빔밥 및 볶음밥류,한우장조림버터비빔밥,81.50,14
241,D014110,밥류,비빔밥 및 볶음밥류,닭가슴살과견과류비빔밥,159.50,9
242,D014111,밥류,비빔밥 및 볶음밥류,닭가슴살데리야끼채소비빔밥,334.00,20
243,D014112,밥류,비빔밥 및 볶음밥류,굴소스야채볶음밥(소),123.00,9
244,D014113,밥류,비빔밥 및 볶음밥류,멕시칸볶음밥(세계음식-멕시코),165.00,12
245,D014114,밥류,비빔밥 및 볶음밥류,배추나물밥&amp;양념장,107.00,9
246,D014115,밥류,비빔밥 및 볶음밥류,김치볶음밥&amp;달걀후라이,255.32,17
247,D014116,밥류,비빔밥 및 볶음밥류,산채비빔밥&amp;표고약고추장,347.50,19
248,D014117,밥류,비빔밥 및 볶음밥류,곤드레무밥/양념장,124.90,9
249,D014118,밥류,비빔밥 및 볶음밥류,버섯영양밥/양념장,81.90,9
250,D014119,밥류,비빔밥 및 볶음밥류,시래기무밥/양념장,146.30,8
251,D014120,밥류,비빔밥 및 볶음밥류,콩나물무밥/양념장,121.50,9
252,D014121,밥류,비빔밥 및 볶음밥류,소라톳밥&amp;부추양념장,112.20,9
253,D014122,밥류,비빔밥 및 볶음밥류,꽁보리밥(비빔밥용),54.00,4
254,D014123,밥류,비빔밥 및 볶음밥류,톳영양밥/양념장,216.20,8
255,D014124,밥류,비빔밥 및 볶음밥류,곤드레밥/부추파프리카양념장,183.30,15
256,D014125,밥류,비빔밥 및 볶음밥류,냉이 강된장비빔밥,238.00,11
257,D014126,밥류,비빔밥 및 볶음밥류,가지볶음밥,556.30,12
258,D014127,밥류,비빔밥 및 볶음밥류,미역볶음밥,231.30,14
259,D014128,밥류,비빔밥 및 볶음밥류,채소비빔밥,866.00,16
260,D014129,밥류,비빔밥 및 볶음밥류,해물볶음밥,313.00,13
261,D014130,밥류,비빔밥 및 볶음밥류,근채류주먹밥,289.00,13
262,D014131,밥류,비빔밥 및 볶음밥류,닭고기볶음밥,268.00,9
263,D014132,밥류,비빔밥 및 볶음밥류,청국장볶음밥,330.00,19
264,D014133,밥류,비빔밥 및 볶음밥류,파인애플볶음밥,538.00,14
265,D014134,밥류,비빔밥 및 볶음밥류,토마토카레 채소볶음밥,348.10,13
266,D015001,밥류,덮밥 및 국밥류,계란덮밥,397.00,13
267,D015002,밥류,덮밥 및 국밥류,닭고기덮밥,356.50,11
268,D015003,밥류,덮밥 및 국밥류,두부덮밥,387.00,12
269,D015004,밥류,덮밥 및 국밥류,소고기국밥,1007.00,7
270,D015005,밥류,덮밥 및 국밥류,소고기덮밥,367.00,11
271,D015006,밥류,덮밥 및 국밥류,소고기덮밥(양송이버섯),377.00,12
272,D015007,밥류,덮밥 및 국밥류,순대국밥,1053.50,12
273,D015008,밥류,덮밥 및 국밥류,오징어덮밥(고추장),390.00,12
274,D015009,밥류,덮밥 및 국밥류,잡채밥,319.50,10
275,D015010,밥류,덮밥 및 국밥류,잡탕밥,380.50,13
276,D015011,밥류,덮밥 및 국밥류,제육덮밥(고추장),360.00,14
277,D015012,밥류,덮밥 및 국밥류,짜장밥,363.00,11
278,D015013,밥류,덮밥 및 국밥류,카레라이스,389.00,10
279,D015014,밥류,덮밥 및 국밥류,하이라이스,338.00,11
280,D015015,밥류,덮밥 및 국밥류,한치덮밥(고추장),416.00,14
281,D015016,밥류,덮밥 및 국밥류,해물덮밥(고추장),369.00,13
282,D015017,밥류,덮밥 및 국밥류,"회덮밥(참치, 고추장)",389.00,12
283,D015018,밥류,덮밥 및 국밥류,"회덮밥(참치, 초고추장)",380.00,13
284,D015021,밥류,덮밥 및 국밥류,다슬기국밥(올갱이국밥),961.10,11
285,D015029,밥류,덮밥 및 국밥류,전주콩나물국밥,875.00,10
286,D015030,밥류,덮밥 및 국밥류,해물덮밥(고추장),249.00,12
287,D015031,밥류,덮밥 및 국밥류,카레라이스,226.60,10
288,D015032,밥류,덮밥 및 국밥류,수수차밥,241.00,6
289,D015033,밥류,덮밥 및 국밥류,양파버섯덮밥,326.05,12
290,D015034,밥류,덮밥 및 국밥류,장어밥,218.50,9
291,D015035,밥류,덮밥 및 국밥류,차돌박이미나리덮밥,306.05,13
292,D015036,밥류,덮밥 및 국밥류,굴국밥,91.70,11
293,D015037,밥류,덮밥 및 국밥류,날치알밥,123.00,6
294,D015038,밥류,덮밥 및 국밥류,달걀덮밥,107.00,11
295,D015039,밥류,덮밥 및 국밥류,짬뽕덮밥,184.60,19
296,D015040,밥류,덮밥 및 국밥류,닭갈비덮밥,170.30,12
297,D015041,밥류,덮밥 및 국밥류,닭살짜장밥,133.00,10
298,D015042,밥류,덮밥 및 국밥류,소고기규동,264.20,16
299,D015043,밥류,덮밥 및 국밥류,야채자장밥,125.00,8
300,D015044,밥류,덮밥 및 국밥류,양송이덮밥,197.20,14
301,D015045,밥류,덮밥 및 국밥류,팔보채덮밥,233.00,19
302,D015046,밥류,덮밥 및 국밥류,고추잡채덮밥,255.02,13
303,D015047,밥류,덮밥 및 국밥류,단호박리조또,146.30,9
304,D015048,밥류,덮밥 및 국밥류,마파두부덮밥,147.00,12
305,D015049,밥류,덮밥 및 국밥류,참치마요덮밥,153.80,17
306,D015050,밥류,덮밥 및 국밥류,치킨마요덮밥,88.20,12
307,D015051,밥류,덮밥 및 국밥류,해물볶음덮밥,362.00,12
308,D015052,밥류,덮밥 및 국밥류,훈제연어덮밥,177.70,8
309,D015053,밥류,덮밥 및 국밥류,바질새우리조또,134.30,10
310,D015054,밥류,덮밥 및 국밥류,버섯카레라이스,225.50,10
311,D015055,밥류,덮밥 및 국밥류,소고기미역국밥,51.30,6
312,D015056,밥류,덮밥 및 국밥류,주꾸미볶음덮밥,196.00,8
313,D015057,밥류,덮밥 및 국밥류,쭈꾸미볶음덮밥,190.00,12
314,D015058,밥류,덮밥 및 국밥류,토마토제육덮밥,352.10,18
315,D015059,밥류,덮밥 및 국밥류,토마토카레덮밥,217.30,10
316,D015060,밥류,덮밥 및 국밥류,깐풍돼지고기덮밥,111.50,13
317,D015061,밥류,덮밥 및 국밥류,돼지고기부추덮밥,213.08,13
318,D015062,밥류,덮밥 및 국밥류,돼지고기짜장덮밥,112.50,11
319,D015063,밥류,덮밥 및 국밥류,베이컨로제리조또,140.90,10
320,D015064,밥류,덮밥 및 국밥류,새우살굴소스덮밥,126.00,9
321,D015065,밥류,덮밥 및 국밥류,소고기카레라이스,184.00,8
322,D015066,밥류,덮밥 및 국밥류,소고기하이라이스,255.00,8
323,D015067,밥류,덮밥 및 국밥류,토마토비프리조또,252.41,15
324,D015068,밥류,덮밥 및 국밥류,훈제오리양파덮밥,121.00,7
325,D015069,밥류,덮밥 및 국밥류,돼지고기양송이덮밥,8.54,16
326,D015070,밥류,덮밥 및 국밥류,새우살마파두부덮밥,205.00,13
327,D015071,밥류,덮밥 및 국밥류,중화풍마파두부덮밥,168.50,17
328,D015072,밥류,덮밥 및 국밥류,돼지고기마파두부덮밥,117.50,10
329,D015073,밥류,덮밥 및 국밥류,코코넛밀크새우그린커리,252.00,11
330,D015074,밥류,덮밥 및 국밥류,단호박병아리콩카레라이스,228.00,11
331,D015075,밥류,덮밥 및 국밥류,팽이버섯덮밥/달걀후라이,103.60,11
332,D015076,밥류,덮밥 및 국밥류,구운달걀 카레덮밥,293.80,10
333,D015077,밥류,덮밥 및 국밥류,돼지고기 가지덮밥,205.40,15
334,D015078,밥류,덮밥 및 국밥류,묵계밥,424.00,13
335,D015079,밥류,덮밥 및 국밥류,봄나물밥,200.00,9
336,D015080,밥류,덮밥 및 국밥류,불고기덮밥,620.00,16
337,D015081,밥류,덮밥 및 국밥류,전복내장밥,318.00,12
338,D015082,밥류,덮밥 및 국밥류,치즈리조또,176.00,7
339,D015083,밥류,덮밥 및 국밥류,두부달걀덮밥,332.10,13
340,D015084,밥류,덮밥 및 국밥류,매생이찰범벅,366.00,7
341,D015085,밥류,덮밥 및 국밥류,바비큐리조또,810.00,14
342,D015086,밥류,덮밥 및 국밥류,닭가슴살리조또,537.00,14
343,D016001,밥류,김(초)밥,김밥(게맛살),283.00,9
344,D016002,밥류,김(초)밥,김밥(비엔나소시지),289.00,9
345,D016003,밥류,김(초)밥,김밥(어묵),280.00,9
346,D016004,밥류,김(초)밥,김밥(햄),276.00,9
347,D016005,밥류,김(초)밥,미역유부밥(새우젓),298.00,4
348,D016006,밥류,김(초)밥,주먹밥,272.00,10
349,D016007,밥류,김(초)밥,초밥(문어),247.00,7
350,D016008,밥류,김(초)밥,초밥(새우),257.00,7
351,D016009,밥류,김(초)밥,초밥(연어),239.00,7
352,D016010,밥류,김(초)밥,초밥(유부),290.00,9
353,D016011,밥류,김(초)밥,초밥(장어),267.00,7
354,D016012,밥류,김(초)밥,초밥(참치),267.00,7
355,D016019,밥류,김(초)밥,기장상추주먹밥,222.60,13
356,D016020,밥류,김(초)밥,두부초밥,271.40,8
357,D016021,밥류,김(초)밥,수수떡갈비김밥,250.20,21
358,D016022,밥류,김(초)밥,우리통밀 뿌리채소주먹밥,256.05,12
359,D016023,밥류,김(초)밥,현미채소초밥,279.00,11
360,D016024,밥류,김(초)밥,김주먹밥,35.80,5
361,D016025,밥류,김(초)밥,충무김밥,73.00,10
362,D016026,밥류,김(초)밥,참치주먹밥,146.80,10
363,D016027,밥류,김(초)밥,김가루주먹밥,92.50,10
364,D016028,밥류,김(초)밥,묵은지주먹밥,102.23,10
365,D016029,밥류,김(초)밥,소고기주먹밥,83.02,9
366,D016030,밥류,김(초)밥,햄채소주먹밥,61.60,9
367,D016031,밥류,김(초)밥,잔멸치김가루주먹밥(소),70.10,7
368,D016032,밥류,김(초)밥,봄주먹밥,319.00,19
369,D016033,밥류,김(초)밥,양배추롤,262.00,9
370,D016034,밥류,김(초)밥,구운주먹밥,195.00,8
371,D016035,밥류,김(초)밥,깐풍주먹밥,336.00,14
372,D016036,밥류,김(초)밥,닭봉주먹밥,412.00,19
373,D016037,밥류,김(초)밥,깻잎장아찌롤,401.00,12
374,D016038,밥류,김(초)밥,새싹참치김밥,242.00,10
375,D016039,밥류,김(초)밥,참치비빔밥롤,326.00,17
376,D016040,밥류,김(초)밥,오징어불고기김밥,605.00,13
377,D016041,밥류,김(초)밥,채소 초밥,186.90,15
378,D017001,밥류,기타,밤밥,100.00,3
379,D017002,밥류,기타,강황밥,90.01,3
380,D017003,밥류,기타,굴무밥,225.00,4
381,D017004,밥류,기타,녹차밥,92.30,3
382,D017005,밥류,기타,영양밥,67.00,5
383,D017006,밥류,기타,홍합밥,112.00,5
384,D017007,밥류,기타,닭고기솥밥,92.50,8
385,D017008,밥류,기타,클로렐라밥,85.00,3
386,D017009,밥류,기타,소불고기브리또,175.60,10
387,D017010,밥류,기타,제주고구마밥(향토-제주도),130.00,2
388,D017011,밥류,기타,이천영양밥(향토-경기도),99.00,5
389,D021001,과자 및 빵류,빵류,건포도빵,80.00,1
